Date,Platform,Content Goal,Funnel Stage,Post Type,Topic,Exact Hook,Full Voiceover Script,Exact On-Screen Text,Canva Visual Direction,Approved CTA,Generated File Name,Source
Day 11,LinkedIn,Authority,Awareness,Video,What Belongs in the Subjective Section,The subjective section is not a dumping ground.,"Use the subjective section for what the patient reports. That includes symptoms, duration, severity, triggers, and relevant quotes. Do not place your observations there. If you saw poor eye contact or psychomotor slowing, that belongs in objective. Clean separation improves note quality.",Subjective = patient report Symptoms Duration Severity Triggers,Simple belongs here / not here slide sequence.,Save this SOAP guide.,PAM_LI_Day11_SOAPSubjective_V1,"1, 2, 4"
Day 12,Facebook,Lead Generation,Consideration,Video,What New Clinicians Miss in Psychiatric Interviews,The problem is often not lack of knowledge. It is missed structure.,"New clinicians often miss four things. Timeline. Functional impairment. Early safety screening. And substance contribution. When these are missed, the interview may sound organized but still remain incomplete.",Timeline Functional impairment Safety early Substance contribution,Four-part checklist with subtle transitions.,Share this with a new psych clinician.,PAM_FB_Day12_OmissionStructure_V1,"1, 2, 4"
Day 13,Instagram,Authority,Awareness,Video/Reel,How to Write a Better Assessment Section,The assessment section should explain your reasoning.,Start by summarizing the core symptom picture. Then connect the findings to your most likely diagnosis. Mention important differentials briefly when relevant. Avoid unsupported conclusions. The assessment section is where clinical reasoning becomes visible.,Summarize symptoms Connect findings to diagnosis Mention key differentials Avoid unsupported conclusions,Use a three-step reasoning diagram ending in assessment.,Save this for charting days.,PAM_IG_Day13_SOAPAssessment_V1,"1, 2"
Day 14,TikTok,Lead Generation,Consideration,Video,A Simple Way to Remember the MSE,"Use categories, not chaos.","When remembering the MSE, stop thinking in long paragraphs. Think in categories. Appearance. Speech. Mood and affect. Thought process and thought content. Perception. Cognition. Insight and judgment. A system is easier to remember than a list.",Appearance Speech Mood / affect Thought process / content Perception Cognition Insight / judgment,"One category appears at a time, then the full system appears.",Save and review before clinical.,PAM_TikTok_Day14_MSERemembrance_V1,"1, 2, 4"
Day 15,Instagram,Authority,Awareness,Video/Reel,Why Random Questioning Weakens Interviews,Random questioning makes psychiatric interviews weaker.,"When questions are asked without structure, important data gets missed. The interview becomes harder to follow. And your documentation becomes harder to organize. A better sequence is chief concern, symptom analysis, safety, history, substance use, psychosocial context, and mental status exam. Structure protects clarity.",Chief concern Symptom analysis Safety History Substance use Psychosocial context MSE,Horizontal flow map with clear arrows.,Save this interview sequence.,PAM_IG_Day15_RandomQuestioning_V1,"1, 2"
Day 16,Facebook,Reach,Awareness,Video,One Documentation Habit That Reduces Trust,One documentation habit weakens otherwise good notes.,"Do not write conclusions without evidence. If you document that the patient is manic, psychotic, or severely depressed, make sure the note shows the findings that support it. Observed speech, affect, thought content, behavior, and symptom pattern should all support your conclusion. Strong charting shows evidence, not labels alone.",Do not chart labels only Show supporting findings Evidence builds trust,"Label on one side, supporting evidence on the other.",Save this documentation reminder.,PAM_FB_Day16_EvidenceCharting_V1,"1, 2"
Day 17,Instagram,Authority,Awareness,Video/Reel,A Visual Map for Suicide Risk Questioning,A visual map makes suicide risk questioning clearer.,"Think in sequence. Ideation. Intent. Plan. Means. Past attempts. Protective factors. When the logic is visible, the questioning becomes clearer and the documentation becomes stronger.",Ideation Intent Plan Means Past attempts Protective factors,Vertical flow map or ladder graphic.,Save this safety framework.,PAM_IG_Day17_RiskMap_V1,"1, 2"
Day 18,Facebook,Product Conversion,Conversion,Video,Knowing the Case Is Not the Same as Writing the Note,Knowing the case is not the same as knowing how to write it.,"Many learners understand the patient, but still struggle when the SOAP note is blank. That is usually a structure problem, not an intelligence problem. A documentation framework helps organize what belongs in subjective, objective, assessment, and plan. Clear structure reduces charting paralysis.",Understand the case Organize the note Use structure Reduce charting paralysis,Blank note page transforms into organized SOAP structure.,Explore Psychiatric Assessment Mastery.,PAM_FB_Day18_NoteWritingStructure_V1,"1, 2, 4"
Day 19,Instagram,Authority,Awareness,Video/Reel,What Makes a Psychiatric Assessment Feel Complete,"A complete assessment feels connected, not crowded.","A strong psychiatric assessment includes a clear presenting problem, structured symptom review, safety evaluation, relevant history, mental status findings, diagnostic reasoning, and a plan linked to the findings. Completeness does not come from writing more. It comes from organizing the right parts.",Presenting problem Symptom review Safety History MSE Reasoning Plan,Circular or layered framework diagram.,Save this assessment map.,PAM_IG_Day19_AssessmentCompleteness_V1,"1, 2"
Day 20,LinkedIn,Authority,Awareness,Video,Why Psychiatric Assessment Mastery Was Created,This was built for the learner who knows the material but freezes in the room.,"Psychiatric Assessment Mastery was created to make psychiatric education more structured, practical, and usable. The goal is not more jargon. The goal is clearer interview flow, better documentation, stronger diagnostic reasoning, and more confidence in real clinical settings. This system was built to reduce overwhelm through structure.",Structured interview flow Better documentation Stronger diagnostic reasoning Reduced overwhelm through structure,"Clean brand-style montage of notes, frameworks, diagrams, and book visuals.",Follow for structured psychiatric assessment training.,PAM_LI_Day20_Mission_V1,"1, 2, 4"
Day 21-30,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
